https://uk.indeed.com/rc/clk?jk=20930d56f06b355f&fccid=2b1bb83992c288cf&vjs=3,job_20930d56f06b355f,Data Engineer,Simply Business,London,NaN
https://uk.indeed.com/rc/clk?jk=4dc1f8e6727ededf&fccid=cd52862adfccd932&vjs=3,job_4dc1f8e6727ededf,Data Engineer,MMT Digital,Remote in London,NaN
Job_Link,Unique_ID,Title,Company_Name,Company_Location,Salary
https://uk.indeed.com/rc/clk?jk=38217125c50a79f9&fccid=607232f651a547c5&vjs=3,job_38217125c50a79f9,Data Centre Engineer,iomart,London EC2A,"Up to £35,000 a year"
https://uk.indeed.com/company/Chelsea-Football-Club/jobs/Data-Engineer-2b5a9a47d001ef11?fccid=b89cb67b0e85f177&vjs=3,job_2b5a9a47d001ef11,Data Centre Engineer,Chelsea Football Club,London SW6,NaN
https://uk.indeed.com/rc/clk?jk=9ff9d0165943d7c5&fccid=4f2893bccebbf347&vjs=3,job_9ff9d0165943d7c5,Data Centre Engineer,Medialab,London,NaN
https://uk.indeed.com/rc/clk?jk=1f7ef3e63b5a0efe&fccid=374d720d3973ca1c&vjs=3,job_1f7ef3e63b5a0efe,Data Centre Engineer,Vodafone,Hybrid remote in London,NaN
https://uk.indeed.com/rc/clk?jk=e453586881c20380&fccid=c4fbc8d763b3f3b5&vjs=3,job_e453586881c20380,Data Centre Engineer,Macquarie Group Limited,London,NaN
https://uk.indeed.com/rc/clk?jk=9ea1fb24ae0b68fe&fccid=0d06dfb448b2ef43&vjs=3,job_9ea1fb24ae0b68fe,Data Centre Engineer,Cancer Research UK,Stratford,NaN
https://uk.indeed.com/rc/clk?jk=1b83258af2edcfe3&fccid=5cb9a256a8193104&vjs=3,job_1b83258af2edcfe3,Data Centre Engineer,ECS Recruitment Group,Remote in London,NaN
https://uk.indeed.com/rc/clk?jk=4e3df18461074b7b&fccid=d6830df36521c563&vjs=3,job_4e3df18461074b7b,Data Centre Engineer,Deerfoot,London,"£70,000 - £100,000 a year"
https://uk.indeed.com/rc/clk?jk=0b4ee3997321035f&fccid=1544766d4c2915b0&vjs=3,job_0b4ee3997321035f,Data Centre Engineer,EY,London E14,NaN
https://uk.indeed.com/rc/clk?jk=68e55025a6c23f78&fccid=f9b5c1a3d40617a5&vjs=3,job_68e55025a6c23f78,Data Centre Engineer,Motability Operations Ltd,Hybrid remote in London SE1,NaN
https://uk.indeed.com/rc/clk?jk=aa41df2aa77b8cb3&fccid=9d65b18f23baeb96&vjs=3,job_aa41df2aa77b8cb3,Data Centre Engineer,Metrica Recruitment,West London,"£35,000 - £40,000 a year"
https://uk.indeed.com/company/Turing-Talent/jobs/Data-Scientist-Intern-84af856aaadc5710?fccid=62ea0490eeb7ef2f&vjs=3,job_84af856aaadc5710,Data Centre Engineer,Turing Talent,Hybrid remote in London,£12 an hour
https://uk.indeed.com/rc/clk?jk=0b51ce8bae18b7c0&fccid=fe2d21eef233e94a&vjs=3,job_0b51ce8bae18b7c0,Data Centre Engineer,Amazon UK Services Ltd.,London,NaN
https://uk.indeed.com/rc/clk?jk=49ae81e676f5a4c5&fccid=6576e7250aa78c3c&vjs=3,job_49ae81e676f5a4c5,Data Centre Engineer,McKinsey & Company,London,NaN
https://uk.indeed.com/rc/clk?jk=5ef2c0cc7cdfd8fc&fccid=0c04c6d31bcaa0fb&vjs=3,job_5ef2c0cc7cdfd8fc,Data Centre Engineer,Source Group International,London,£650 - £750 a month
Job_Link,Unique_ID,Title,Company_Name,Company_Location,Salary
https://uk.indeed.com/rc/clk?jk=c00da9007f213b8e&fccid=c1099851e9794854&vjs=3,job_c00da9007f213b8e,Apple Pay - Data Engineer,Apple,London,NaN
