price,sku,asin,reviews,product_link,image_link,uuid
949,Apple iPhone 13 Pro (128GB) - Graphite,B09G98SWCW,758,https://www.amazon.co.uk/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A03543222TF7I0J6G2LE8&url=%2FApple-iPhone-13-Pro-128GB%2Fdp%2FB09G98SWCW%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2MPQQM1S19HFJ%26keywords%3DiPhone%2B13%26qid%3D1657021739%26refinements%3Dp_89%253AApple%26rnid%3D1632651031%26s%3Delectronics%26sprefix%3D%252Caps%252C102%26sr%3D1-2-spons%26psc%3D1&qualifier=1657021739&id=393844671160640&widgetName=sp_atf,https://m.media-amazon.com/images/I/61HnuJc8WHL._AC_UY218_.jpg,f87bb5fd-0bb4-4b93-b850-f0e50deaed6c
729,Apple iPhone 13 (128GB) - Midnight,B09G95MCDT,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-128GB-Midnight/dp/B09G95MCDT/ref=sr_1_3?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-3,https://m.media-amazon.com/images/I/616dWFinzLL._AC_UY218_.jpg,7cdd39f4-ffda-4798-8673-2989301be850
729,Apple iPhone 13 (128GB) - Blue,B09G9HQHRH,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-128GB-Blue/dp/B09G9HQHRH/ref=sr_1_4?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-4,https://m.media-amazon.com/images/I/71dpTXFz+dL._AC_UY218_.jpg,f707ad80-5a41-4303-8613-8dc99e83a913
729,Apple iPhone 13 (128 GB) - Green,B09V43FPYG,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-128-GB/dp/B09V43FPYG/ref=sr_1_5?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-5,https://m.media-amazon.com/images/I/61-r9zOKBCL._AC_UY218_.jpg,d9bf4e0b-d3b4-4857-b3d1-8dd226dc5a45
949,Apple iPhone 13 Pro (128GB) - Graphite,B09G98SWCW,758,https://www.amazon.co.uk/Apple-iPhone-13-Pro-128GB/dp/B09G98SWCW/ref=sr_1_6?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-6,https://m.media-amazon.com/images/I/61HnuJc8WHL._AC_UY218_.jpg,fbd564ca-cac8-499f-bc87-9a5ceb797da0
719,Apple iPhone 13 (128GB) - Pink,B09G99YSFG,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-128GB-Pink/dp/B09G99YSFG/ref=sr_1_7?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-7,https://m.media-amazon.com/images/I/61CGRxr55fL._AC_UY218_.jpg,283575af-e964-4c05-9ec8-1ed368f0aacf
629,Apple iPhone 13 mini (128 GB) - Green,B09V4L7JD4,701,https://www.amazon.co.uk/Apple-iPhone-13-mini-128/dp/B09V4L7JD4/ref=sr_1_8?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-8,https://m.media-amazon.com/images/I/61cMQeVEGKL._AC_UY218_.jpg,3551400c-05f1-4c44-8a22-f6edd8c2233b
819,Apple iPhone 13 (256GB) - Midnight,B09G9JPCJN,"1,526",https://www.amazon.co.uk/Apple-iPhone-13-256GB-Midnight/dp/B09G9JPCJN/ref=sr_1_9?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-9,https://m.media-amazon.com/images/I/616dWFinzLL._AC_UY218_.jpg,95db176d-0cd7-443d-b95b-d811d0f5a873
629,Apple iPhone 13 mini (128GB) - Starlight,B09G96QDHX,701,https://www.amazon.co.uk/Apple-iPhone-mini-128GB-Starlight/dp/B09G96QDHX/ref=sr_1_10?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-10,https://m.media-amazon.com/images/I/61neib4uMCL._AC_UY218_.jpg,f7a47f19-be3d-4b9b-8496-6a40466735ed
"1,149",Apple iPhone 13 Pro Max (256GB) - Sierra Blue,B09G9DSJH3,898,https://www.amazon.co.uk/Apple-iPhone-Pro-Max-256GB/dp/B09G9DSJH3/ref=sr_1_11?crid=2MPQQM1S19HFJ&keywords=iPhone+13&qid=1657021739&refinements=p_89%3AApple&rnid=1632651031&s=electronics&sprefix=%2Caps%2C102&sr=1-11,https://m.media-amazon.com/images/I/61BgOOthLUL._AC_UY218_.jpg,f3207dc4-d32b-4cb7-a19c-beaf631a1538
